RuleName;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;#OutPut::MesStatus;#OutPut::ClientStatus
rule 4-1;гулящая;упала;шалава;;;;на модерации;0;
rule 3-2;8800-500-01-01;справка;;;;;ошибка;1;
rule 1-1;токо;;;;;;ошибка;1;
rule 4-2;маменькин;молодой;ноющий;;;;на модерации;0;
rule 4-3;блудная;нагулялась;овца;;;;на модерации;0;
rule 4-4;баба-мужик;;;;;;на модерации;0;
rule 1-2;1п+1п=2п;;;;;;ошибка;1;
rule 1-3;1п-500;;;;;;ошибка;1;
rule 1-4;89320112866;;;;;;ошибка;1;
rule 1-5;ложи;сюда;;;;;ошибка;1;
rule 1-6;9320112866;;;;;;ошибка;1;
rule 4-5;стремотой;;;;;;на модерации;0;
rule 4-6;развод;;;;;;на модерации;0;
rule 4-7;сменить;теперь;фамилию;;;;на модерации;0;
rule 4-8;трэш;;;;;;на модерации;0;
rule 4-9;отстойный;;;;;;на модерации;0;
rule 4-10;скинется;;;;;;на модерации;0;
rule 4-11;мозгов;навозных;шалавистой;;;;на модерации;0;
rule 4-12;актёришка;аплодисментами;долбанный;;;;на модерации;0;
rule 4-13;злючая;курить;мамашка;;;;на модерации;0;
rule 4-14;висят;груди;когда;нравится;спаниеля;;на модерации;0;
rule 4-15;шалава;;;;;;на модерации;0;
rule 4-16;агрессией;любовницы;позорной;шизофренической;;;на модерации;0;
rule 4-17;душат;послал;посылают;;;;на модерации;0;
rule 4-18;брошенка;гулящяя;разведёнка;;;;на модерации;0;
rule 4-19;жесть;;;;;;на модерации;0;
rule 4-20;лысой;пиздёнкой;;;;;на модерации;0;
rule 4-21;мамочке-шалавочке;;;;;;на модерации;0;
rule 4-22;тварь;;;;;;на модерации;0;
rule 4-23;мамочка-ш;;;;;;на модерации;0;
rule 4-24;жопе;пиздёнку;;;;;на модерации;0;
rule 4-25;бессовестная;;;;;;на модерации;0;
rule 4-26;секс;;;;;;на модерации;0;
rule 4-27;мразь;;;;;;на модерации;0;
rule 4-28;блочишь;женихов;подыскиваем;;;;на модерации;0;
rule 4-29;дать;женщине;;;;;на модерации;0;
rule 4-30;гонется;деньгами;потаскуха;старикашке;чужими;;на модерации;0;
rule 4-31;обострение;толстозадая;шизофреников;;;;на модерации;0;
rule 4-32;мужик;непорядочной;развестись;;;;на модерации;0;
rule 4-33;обострение;признаки;ревности;шалавой;шизофрении;;на модерации;0;
rule 4-34;камера;лысая;пиздёнка;скрытая;снимала;;на модерации;0;
rule 4-36;брошенка;разведёнкой;;;;;на модерации;0;
rule 4-37;брошенки;любовница;позорище;тёлка;шалава;;на модерации;0;
rule 4-38;бывший;забудь;опрокинул;потаскушечье;разводе;;на модерации;0;
rule 4-39;брошенка;никчёмности;отвращения;разведёнка;сдохла;шалавистая;на модерации;0;
rule 4-40;заслужила;захлебнулась;злости;изменить;никчёмное;ревности;на модерации;0;
rule 4-41;безудержный;месть;кайфово;потаскушка;приятненько;секс;на модерации;0;
rule 4-42;выносишь;отвыкни;звонишь;мозги;обманывают;потаскушка;на модерации;0;
rule 4-43;плевать;потаскушка;тупой;хватит;;;на модерации;0;
rule 4-44;близости;бывший;интимной;шизофреничная;;;на модерации;0;
rule 4-45;мамаша;отожгла;отчимом;старикашка;;;на модерации;0;
rule 3-3;(800)100-97-28;alfabank;oplata;ozon.ru;pokupki;summy;ошибка;1;
rule 3-4;8(800)100-97-28;alfabank;oplata;ozon.ru;pokupki;summy;ошибка;1;
rule 3-5;icloud.com.lfind.me;местоположении;обнаружен;последнем;сегодня;;ошибка;1;
rule 3-6;lcioud.ru;linked;located;location;;;ошибка;1;
rule 3-7;icloud.com.ru-en.info;информация;местоположении;обнаружен;сегодня;;ошибка;1;
rule 3-8;3aблoкиpoвaha;бahkobckaя;кapta;8(800)3335554;;;ошибка;1;
rule 3-9;3aблoкиpoвaha;бahkobckaя;кapta;8(800)333-86-19;;;ошибка;1;
rule 3-10;88001003333;bimbank;списание;;;;ошибка;1;
rule 3-11;8(800)511-09-80;binb;cписание;;;;ошибка;1;
rule 3-12;8(800)333-85-78;binb;заказ;оплачен;;;ошибка;1;
rule 3-13;8(800)333-85-78;binb;платеж;;;;ошибка;1;
rule 3-14;88005054928;binbank;заказ;;;;ошибка;1;
rule 2-1;click;hornet;http://bit.ly;;;;на модерации;0;
rule 2-2;cкачай;http://vk.cc;бонусов;получи;;;на модерации;0;
rule 2-3;cкачай;http://www.goo.gl;бонусов;получи;;;на модерации;0;
rule 2-4;cкачай;http://www.vk.cc;бонусов;получи;;;на модерации;0;
