DATA;Row Heading;Column Heading
1;structural element | pipe 159х4,5-180 for the output of the rest of the product;amount
25;structural element | pipe 159х4,5-180 for the output of the rest of the product;pressure, mpa
steel 20;structural element | pipe 159х4,5-180 for the output of the rest of the product;material | marka
1050-88;structural element | pipe 159х4,5-180 for the output of the rest of the product;material | standard
1;structural element | pipe 273х8-200 for the output of the vapour product;amount
25;structural element | pipe 273х8-200 for the output of the vapour product;pressure, mpa
steel 20;structural element | pipe 273х8-200 for the output of the vapour product;material | marka
1050-88;structural element | pipe 273х8-200 for the output of the vapour product;material | standard
3;structural element | pipe 159х4,5-190 for the input of the coolant;amount
25;structural element | pipe 159х4,5-190 for the input of the coolant;pressure, mpa
steel 20;structural element | pipe 159х4,5-190 for the input of the coolant;material | marka
1050-88;structural element | pipe 159х4,5-190 for the input of the coolant;material | standard
1;structural element | pipe 57х4-110 for the drainage;amount
25;structural element | pipe 57х4-110 for the drainage;pressure, mpa
steel 20;structural element | pipe 57х4-110 for the drainage;material | marka
1050-88;structural element | pipe 57х4-110 for the drainage;material | standard
1;structural element | люк-лаз патрубок 480х10-200;amount
450;structural element | люк-лаз патрубок 480х10-200;условный переход, мм
25;structural element | люк-лаз патрубок 480х10-200;pressure, mpa
09g2с;structural element | люк-лаз патрубок 480х10-200;material | marka
5520-79;structural element | люк-лаз патрубок 480х10-200;material | standard
2;structural element | бобышка регулятора уровня;amount
40;structural element | бобышка регулятора уровня;условный переход, мм
-;structural element | бобышка регулятора уровня;pressure, mpa
steel 20;structural element | бобышка регулятора уровня;material | marka
1050-88;structural element | бобышка регулятора уровня;material | standard
1;structural element | для магнометра;amount
15;structural element | для магнометра;условный переход, мм
-;structural element | для магнометра;pressure, mpa
steel 20;structural element | для магнометра;material | marka
1050-88;structural element | для магнометра;material | standard
3;structural element | люк монтажный патрубок 219х6-258;amount
200;structural element | люк монтажный патрубок 219х6-258;условный переход, мм
25;structural element | люк монтажный патрубок 219х6-258;pressure, mpa
steel 20;structural element | люк монтажный патрубок 219х6-258;material | marka
1050-88;structural element | люк монтажный патрубок 219х6-258;material | standard
2;structural element | к указателю уровня;amount
20;structural element | к указателю уровня;условный переход, мм
-;structural element | к указателю уровня;pressure, mpa
steel 20;structural element | к указателю уровня;material | marka
1050-88;structural element | к указателю уровня;material | standard
3;structural element | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;amount
700;structural element | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;условный переход, мм
25;structural element | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;pressure, mpa
09g2с;structural element | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;material | marka
5520-79;structural element | штуцер ввода трубн.пучка патрубок (1,2,3)700х36-335;material | standard
