DATA;Row Heading;Column Heading
п.2.5;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""общие правила взрывобезопасности для взрывопожароопасных химических, нефтехимических и нефтеперерабатывающих производств"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.5.1. пп.5.1.2;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""общие правила взрывобезопасности для взрывопожароопасных химических, нефтехимических и нефтеперерабатывающих производств"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.5.1. пп.5.1.12;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""общие правила взрывобезопасности для взрывопожароопасных химических, нефтехимических и нефтеперерабатывающих производств"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.5.2. пп.5.2.2;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""общие правила взрывобезопасности для взрывопожароопасных химических, нефтехимических и нефтеперерабатывающих производств"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.5.3. пп.5.3.2;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""общие правила взрывобезопасности для взрывопожароопасных химических, нефтехимических и нефтеперерабатывающих производств"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.6.6. пп.6.6.2;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""общие правила взрывобезопасности для взрывопожароопасных химических, нефтехимических и нефтеперерабатывающих производств"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.10;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.12;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.186;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.212;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.302;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.304;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.360;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.411 а;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.414 д;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
п.415;"наименование нормативных правовых актов (нпа) | фнп в области промышленной безопасности ""правила промышленной безопасности опасных производственных объектов, на которых использцуется оборудование, работающее под избыточным давлением"". утверждена приказом федеральной службы по экологическому, технологическому и атомному надзору 12.12.12, №96 зарег. в минюсте россии 12.12.12 № 9696";пункт, подпункт, часть, статья
