DATA;Row Heading;Column Heading
0,5;давление, мпа | рабочее;трубное пространство
0,8;давление, мпа | рабочее;межтрубное пространство
0,5;давление, мпа | расчетное;трубное пространство
0,8;давление, мпа | расчетное;межтрубное пространство
0,5;давление, мпа | разрешенное;трубное пространство
0,8;давление, мпа | разрешенное;межтрубное пространство
0,63;давление, мпа | пробное гидроиспытания;трубное пространство
1;давление, мпа | пробное гидроиспытания;межтрубное пространство
-;давление, мпа | настройка предохранительного клапана;трубное пространство
-;давление, мпа | настройка предохранительного клапана;межтрубное пространство
