DATA;LABELS
408;диаметр обечайки внутренний, мм
0,5;давление внутреннее избыточное расчетное, мпа
50;температура расчетная, с
09г2с гост 5520;основной конструкционный материал
1;коэффициент прочности сварного шва
196;допускаемое напряжение матриала при 20 с, мпа
188;допускаемое напряжение матриалы при расчетной температуре 50 с, мпа
1;прибавка для компенсации коррозии, мм
25,8;минимальная толщина крышки по результатам толщинометрии с учетом инусового допуска, мм
10;минимальная толщина обечайки по результатам толщинометрии с учетом минусового допуска, мм
