DATA;Row Heading;Column Heading
2600,0;конструктивный элемент | обечайка корпуса межтурбного пространства;внутренний диаметр, d, мм (нар.)
6400;конструктивный элемент | обечайка корпуса межтурбного пространства;длина h, мм
26,0;конструктивный элемент | обечайка корпуса межтурбного пространства;исполнительная толщина стенки, sи, мм
вст3;конструктивный элемент | обечайка корпуса межтурбного пространства;марка материала
700,0;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;внутренний диаметр, d, мм (нар.)
600;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;длина h, мм
36,0;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;внутренний диаметр, d, мм (нар.)
600;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;длина h, мм
36,0;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;внутренний диаметр, d, мм (нар.)
600;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;длина h, мм
36,0;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;внутренний диаметр, d, мм (нар.)
400;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;длина h, мм
10,0;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;внутренний диаметр, d, мм (нар.)
400;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;длина h, мм
10,0;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;внутренний диаметр, d, мм (нар.)
400;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;длина h, мм
10,0;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;исполнительная толщина стенки, sи, мм
2600,0;конструктивный элемент | днище корпуса межтрубного пространства;внутренний диаметр, d, мм (нар.)
730;конструктивный элемент | днище корпуса межтрубного пространства;длина h, мм
26,0;конструктивный элемент | днище корпуса межтрубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;внутренний диаметр, d, мм (нар.)
200;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;длина h, мм
10,0;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;внутренний диаметр, d, мм (нар.)
200;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;длина h, мм
10,0;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;исполнительная толщина стенки, sи, мм
700,0;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;внутренний диаметр, d, мм (нар.)
200;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;длина h, мм
10,0;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;исполнительная толщина стенки, sи, мм
09г2с;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;марка материала
09г2с;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;марка материала
09г2с;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;марка материала
09г2с;конструктивный элемент | днище корпуса межтрубного пространства;марка материала
09г2с;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;марка материала
09г2с;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;марка материала
09г2с;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;марка материала
09г2с;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;марка материала
09г2с;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;марка материала
09г2с;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;марка материала
09г2с;конструктивный элемент | днище корпуса межтрубного пространства;марка материала
09г2с;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;марка материала
09г2с;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;марка материала
09г2с;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;марка материала
