DATA;Row Heading;Column Heading
231;элемент | обечайка корпуса межтурбного пространства;rp0,2, мпа
210;элемент | обечайка корпуса межтурбного пространства;[g]пр, мпа
23,6;элемент | обечайка корпуса межтурбного пространства;sф, мм
1,69;элемент | обечайка корпуса межтурбного пространства;pпр, мм
3,26;элемент | обечайка корпуса межтурбного пространства;[p]пр, мпа
24,9;элемент | днище корпуса межтурбного пространства;sф, мм
1,69;элемент | днище корпуса межтурбного пространства;pпр, мм
4,19;элемент | днище корпуса межтурбного пространства;[p]пр, мпа
280;элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;rp0,2, мпа
280;элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;rp0,2, мпа
280;элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;rp0,2, мпа
280;элемент | обечайка распределительной камеры №1 трубного пространства;rp0,2, мпа
280;элемент | обечайка распределительной камеры №2 трубного пространства;rp0,2, мпа
280;элемент | обечайка распределительной камеры №3 трубного пространства;rp0,2, мпа
280;элемент | днище корпуса межтурбного пространства;rp0,2, мпа
280;элемент | днище распределительной камеры №1 трубного пространства;rp0,2, мпа
280;элемент | днище распределительной камеры №2 трубного пространства;rp0,2, мпа
280;элемент | днище распределительной камеры №3 трубного пространства;rp0,2, мпа
280;элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;rp0,2, мпа
280;элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;rp0,2, мпа
280;элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;rp0,2, мпа
280;элемент | обечайка распределительной камеры №1 трубного пространства;rp0,2, мпа
280;элемент | обечайка распределительной камеры №2 трубного пространства;rp0,2, мпа
280;элемент | обечайка распределительной камеры №3 трубного пространства;rp0,2, мпа
280;элемент | днище корпуса межтурбного пространства;rp0,2, мпа
280;элемент | днище распределительной камеры №1 трубного пространства;rp0,2, мпа
280;элемент | днище распределительной камеры №2 трубного пространства;rp0,2, мпа
280;элемент | днище распределительной камеры №3 трубного пространства;rp0,2, мпа
254,55;элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;[g]пр, мпа
254,55;элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;[g]пр, мпа
254,55;элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;[g]пр, мпа
254,55;элемент | обечайка распределительной камеры №1 трубного пространства;[g]пр, мпа
254,55;элемент | обечайка распределительной камеры №2 трубного пространства;[g]пр, мпа
254,55;элемент | обечайка распределительной камеры №3 трубного пространства;[g]пр, мпа
254,55;элемент | днище корпуса межтурбного пространства;[g]пр, мпа
254,55;элемент | днище распределительной камеры №1 трубного пространства;[g]пр, мпа
254,55;элемент | днище распределительной камеры №2 трубного пространства;[g]пр, мпа
254,55;элемент | днище распределительной камеры №3 трубного пространства;[g]пр, мпа
254,55;элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;[g]пр, мпа
254,55;элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;[g]пр, мпа
254,55;элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;[g]пр, мпа
254,55;элемент | обечайка распределительной камеры №1 трубного пространства;[g]пр, мпа
254,55;элемент | обечайка распределительной камеры №2 трубного пространства;[g]пр, мпа
