DATA;RowHeading3;RowHeading2;RowHeading1;RowHeading5;RowHeading4;ColumnHeading
8 121;;;total;;;total plant capacity
5 080;;;total;;;biomass/ coal cofiring capacity
45;54098;thilmany llc;wi;outagamie;international paper kaukauna mill;total plant capacity
33;54098;thilmany llc;wi;outagamie;international paper kaukauna mill;biomass/ coal cofiring capacity
10;54408;state of wisconsin;wi;dane;univ of wisc madison charter sreet plant;total plant capacity
10;54408;state of wisconsin;wi;dane;univ of wisc madison charter sreet plant;biomass/ coal cofiring capacity
2;54407;state of wisconsin;wi;dodge;waupun correctional central heating plt;total plant capacity
2;54407;state of wisconsin;wi;dodge;waupun correctional central heating plt;biomass/ coal cofiring capacity
68;3982;northern states power co;wi;ashland;bay front;total plant capacity
40;3982;northern states power co;wi;ashland;bay front;biomass/ coal cofiring capacity
25;54857;newpage corporation;wi;marinette;niagara mill;total plant capacity
12;54857;newpage corporation;wi;marinette;niagara mill;biomass/ coal cofiring capacity
72;10477;newpage corporation;wi;wood;wisconsin rapids pulp mill;total plant capacity
72;10477;newpage corporation;wi;wood;wisconsin rapids pulp mill;biomass/ coal cofiring capacity
4;10476;newpage corporation;wi;portage;whiting mill;total plant capacity
4;10476;newpage corporation;wi;portage;whiting mill;biomass/ coal cofiring capacity
62;10234;newpage corporation;wi;wood;biron mill;total plant capacity
22;10234;newpage corporation;wi;wood;biron mill;biomass/ coal cofiring capacity
23;50614;mosinee paper corp;wi;marathon;mosinee paper;total plant capacity
20;50614;mosinee paper corp;wi;marathon;mosinee paper;biomass/ coal cofiring capacity
213;4125;manitowoc public utilities;wi;manitowoc;manitowoc;total plant capacity
10;4125;manitowoc public utilities;wi;manitowoc;manitowoc;biomass/ coal cofiring capacity
188;3992;madison gas & electric co;wi;dane;blount street;total plant capacity
100;3992;madison gas & electric co;wi;dane;blount street;biomass/ coal cofiring capacity
7;56037;fox valley energy center llc;wi;winnebago;fox valley energy center;total plant capacity
7;56037;fox valley energy center llc;wi;winnebago;fox valley energy center;biomass/ coal cofiring capacity
50;3920;tacoma city of;wa;pierce;steam plant;total plant capacity
50;3920;tacoma city of;wa;pierce;steam plant;biomass/ coal cofiring capacity
668;56808;virginia electric & power co;va;wise;virginia city hybrid energy center;total plant capacity
668;56808;virginia electric & power co;va;wise;virginia city hybrid energy center;biomass/ coal cofiring capacity
105;50900;meadwestvaco corp;va;covington;covington facility;total plant capacity
105;50900;meadwestvaco corp;va;covington;covington facility;biomass/ coal cofiring capacity
155;52152;international paper;va;isle of wight;international paper franklin mill;total plant capacity
97;52152;international paper;va;isle of wight;international paper franklin mill;biomass/ coal cofiring capacity
8;50479;gp big island llc;va;bedford;georgia pacific big island;total plant capacity
8;50479;gp big island llc;va;bedford;georgia pacific big island;biomass/ coal cofiring capacity
2;50911;bassett furniture industries inc;va;henry;bassett table;total plant capacity
2;50911;bassett furniture industries inc;va;henry;bassett table;biomass/ coal cofiring capacity
135;55858;desert power lp;ut;tooele;desert power lp;total plant capacity
43;55858;desert power lp;ut;tooele;desert power lp;biomass/ coal cofiring capacity
99;7737;south carolina electric&gas co;sc;charleston;cogen south;total plant capacity
99;7737;south carolina electric&gas co;sc;charleston;cogen south;biomass/ coal cofiring capacity
108;50806;smurfit-stone container enterprises inc;sc;florence;stone container florence mill;total plant capacity
79;50806;smurfit-stone container enterprises inc;sc;florence;stone container florence mill;biomass/ coal cofiring capacity
110;52151;international paper co-eastovr;sc;richland;international paper eastover facility;total plant capacity
48;52151;international paper co-eastovr;sc;richland;international paper eastover facility;biomass/ coal cofiring capacity
110;50397;p h glatfelter co;pa;york;p h glatfelter;total plant capacity
6;50397;p h glatfelter co;pa;york;p h glatfelter;biomass/ coal cofiring capacity
54;54638;domtar llc;pa;elk;johnsonburg mill;total plant capacity
54;54638;domtar llc;pa;elk;johnsonburg mill;biomass/ coal cofiring capacity
56;50202;niagara generation llc;ny;niagara;wps power niagara;total plant capacity
56;50202;niagara generation llc;ny;niagara;wps power niagara;biomass/ coal cofiring capacity
56;10464;black river generation llc;ny;jefferson;black river generation;total plant capacity
56;10464;black river generation llc;ny;jefferson;black river generation;biomass/ coal cofiring capacity
60;2531;aes jennison llc;ny;chenango;aes jennison llc;total plant capacity
60;2531;aes jennison llc;ny;chenango;aes jennison llc;biomass/ coal cofiring capacity
70;2529;aes hickling llc;ny;steuben;aes hickling llc;total plant capacity
70;2529;aes hickling llc;ny;steuben;aes hickling llc;biomass/ coal cofiring capacity
163;2527;aes greenidge;ny;yates;aes greenidge llc;total plant capacity
113;2527;aes greenidge;ny;yates;aes greenidge llc;biomass/ coal cofiring capacity
68;10379;primary energy of north carolina llc;nc;person;primary energy roxboro;total plant capacity
68;10379;primary energy of north carolina llc;nc;person;primary energy roxboro;biomass/ coal cofiring capacity
162;50189;domtar paper company llc;nc;martin;domtar paper co llc plymouth nc;total plant capacity
162;50189;domtar paper company llc;nc;martin;domtar paper co llc plymouth nc;biomass/ coal cofiring capacity
8;54618;corn products intl inc;nc;forsyth;corn products winston salem;total plant capacity
8;54618;corn products intl inc;nc;forsyth;corn products winston salem;biomass/ coal cofiring capacity
44;10381;carlyle/riverstone renewable energy;nc;duplin;coastal carolina clean power;total plant capacity
44;10381;carlyle/riverstone renewable energy;nc;duplin;coastal carolina clean power;biomass/ coal cofiring capacity
123;50184;weyerhaeuser co;ms;lowndes;weyerhaeuser columbus ms;total plant capacity
123;50184;weyerhaeuser co;ms;lowndes;weyerhaeuser columbus ms;biomass/ coal cofiring capacity
91;50969;university of missouri-columba;mo;boone;university of missouri columbia;total plant capacity
6;50969;university of missouri-columba;mo;boone;university of missouri columbia;biomass/ coal cofiring capacity
123;1897;minnesota power inc;mn;st louis;m l hibbard;total plant capacity
73;1897;minnesota power inc;mn;st louis;m l hibbard;biomass/ coal cofiring capacity
28;10686;minnesota power inc;mn;itasca;rapids energy center;total plant capacity
27;10686;minnesota power inc;mn;itasca;rapids energy center;biomass/ coal cofiring capacity
70;50835;tes filer city station lp;mi;manistee;tes filer city station;total plant capacity
70;50835;tes filer city station lp;mi;manistee;tes filer city station;biomass/ coal cofiring capacity
51;50438;s d warren co;mi;muskegon;s d warren muskegon;total plant capacity
51;50438;s d warren co;mi;muskegon;s d warren muskegon;biomass/ coal cofiring capacity
103;10208;newpage corporation;mi;delta;escanaba paper company;total plant capacity
81;10208;newpage corporation;mi;delta;escanaba paper company;biomass/ coal cofiring capacity
8;10149;decorative panels international, inc.;mi;alpena;decorative panels intl;total plant capacity
8;10149;decorative panels international, inc.;mi;alpena;decorative panels intl;biomass/ coal cofiring capacity
81;50447;s d warren co.- westbrook;me;cumberland;s d warren westbrook;total plant capacity
15;50447;s d warren co.- westbrook;me;cumberland;s d warren westbrook;biomass/ coal cofiring capacity
103;10495;newpage corporation;me;oxford;rumford cogeneration;total plant capacity
103;10495;newpage corporation;me;oxford;rumford cogeneration;biomass/ coal cofiring capacity
65;50282;newpage corporation;md;allegany;luke mill;total plant capacity
65;50282;newpage corporation;md;allegany;luke mill;biomass/ coal cofiring capacity
59;54090;international paper co;la;morehouse;international paper louisiana mill;total plant capacity
59;54090;international paper co;la;morehouse;international paper louisiana mill;biomass/ coal cofiring capacity
1 609;6041;east kentucky power coop, inc;ky;mason;h l spurlock;total plant capacity
659;6041;east kentucky power coop, inc;ky;mason;h l spurlock;biomass/ coal cofiring capacity
23;54775;university of iowa;ia;johnson;university of iowa main power plant;total plant capacity
21;54775;university of iowa;ia;johnson;university of iowa main power plant;biomass/ coal cofiring capacity
211;10860;archer daniels midland co;ia;clinton;archer daniels midland clinton;total plant capacity
180;10860;archer daniels midland co;ia;clinton;archer daniels midland clinton;biomass/ coal cofiring capacity
109;1122;ames city of;ia;story;ames electric services power plant;total plant capacity
109;1122;ames city of;ia;story;ames electric services power plant;biomass/ coal cofiring capacity
62;10604;hawaiian com & sugar co ltd;hi;maui;hawaiian comm & sugar puunene mill;total plant capacity
46;10604;hawaiian com & sugar co ltd;hi;maui;hawaiian comm & sugar puunene mill;biomass/ coal cofiring capacity
82;54004;sp newsprint company;ga;laurens;sp newsprint;total plant capacity
45;54004;sp newsprint company;ga;laurens;sp newsprint;biomass/ coal cofiring capacity
85;54358;international paper co-augusta;ga;richmond;international paper augusta mill;total plant capacity
85;54358;international paper co-augusta;ga;richmond;international paper augusta mill;biomass/ coal cofiring capacity
101;54101;georgia pacific cso llc;ga;early;georgia pacific cedar springs;total plant capacity
101;54101;georgia pacific cso llc;ga;early;georgia pacific cedar springs;biomass/ coal cofiring capacity
34;50807;stone container corp-panama ci;fl;bay;stone container panama city mill;total plant capacity
20;50807;stone container corp-panama ci;fl;bay;stone container panama city mill;biomass/ coal cofiring capacity
128;10202;jefferson smurfit corp;fl;nassau;jefferson smurfit fernandina beach;total plant capacity
74;10202;jefferson smurfit corp;fl;nassau;jefferson smurfit fernandina beach;biomass/ coal cofiring capacity
83;50250;international paper co-pensacola;fl;escambia;international paper pensacola;total plant capacity
83;50250;international paper co-pensacola;fl;escambia;international paper pensacola;biomass/ coal cofiring capacity
710;593;conectiv delmarva gen inc;de;new castle;edge moor;total plant capacity
252;593;conectiv delmarva gen inc;de;new castle;edge moor;biomass/ coal cofiring capacity
559;126;tucson electric power co;az;pima;h wilson sundt generating station;total plant capacity
173;126;tucson electric power co;az;pima;h wilson sundt generating station;biomass/ coal cofiring capacity
157;54104;domtar industries inc;ar;little river;ashdown;total plant capacity
157;54104;domtar industries inc;ar;little river;ashdown;biomass/ coal cofiring capacity
90;52140;international paper co;al;autauga;international paper prattville mill;total plant capacity
49;52140;international paper co;al;autauga;international paper prattville mill;biomass/ coal cofiring capacity
78;10699;georgia-pacific corp;al;choctaw;georgia pacific naheola mill;total plant capacity
31;10699;georgia-pacific corp;al;choctaw;georgia pacific naheola mill;biomass/ coal cofiring capacity
91;50407;dte energy services;al;mobile;mobile energy services llc;total plant capacity
91;50407;dte energy services;al;mobile;mobile energy services llc;biomass/ coal cofiring capacity
