DATA;RowHeading1;ColumnHeading
57,7;whole country | ?land;1st round (%)
61,9;whole country | ?land;2nd round (%)
72;whole country | lapland;1st round (%)
74,8;whole country | lapland;2nd round (%)
71;whole country | oulu;1st round (%)
74;whole country | oulu;2nd round (%)
72,6;whole country | central finland;1st round (%)
75,9;whole country | central finland;2nd round (%)
74,8;whole country | vaasa;1st round (%)
76,9;whole country | vaasa;2nd round (%)
68,9;whole country | north karelia;1st round (%)
72;whole country | north karelia;2nd round (%)
69,7;whole country | north savo;1st round (%)
72,5;whole country | north savo;2nd round (%)
70,8;whole country | south savo;1st round (%)
73,7;whole country | south savo;2nd round (%)
72,5;whole country | kymi;1st round (%)
76,1;whole country | kymi;2nd round (%)
74,6;whole country | pirkanmaa;1st round (%)
78,4;whole country | pirkanmaa;2nd round (%)
73;whole country | h?me;1st round (%)
77,2;whole country | h?me;2nd round (%)
74,1;whole country | satakunta;1st round (%)
77,6;whole country | satakunta;2nd round (%)
75,3;whole country | varsinais-suomi;1st round (%)
78,7;whole country | varsinais-suomi;2nd round (%)
77,1;whole country | uusimaa;1st round (%)
80,7;whole country | uusimaa;2nd round (%)
76,3;whole country | helsinki;1st round (%)
79,9;whole country | helsinki;2nd round (%)
73,9;whole country;1st round (%)
77,2;whole country;2nd round (%)
