DATA;RowHeading3;RowHeading2;RowHeading1;RowHeading4;ColumnHeading
22.9;;;total u.s. merchandise trade -all ports;;percent change, 1999-2003 | imports
4.5;;;total u.s. merchandise trade -all ports;;percent change, 1999-2003 | exports
15.5;;;total u.s. merchandise trade -all ports;;percent change, 1999-2003 | total trade
19.2;;;top 25 ports;;percent change, 1999-2003 | imports
6.5;;;top 25 ports;;percent change, 1999-2003 | exports
14.3;;;top 25 ports;;percent change, 1999-2003 | total trade
20.2;port of otay mesa station, ca;25;24;land;percent change, 1999-2003 | imports
33.3;port of otay mesa station, ca;25;24;land;percent change, 1999-2003 | exports
25.3;port of otay mesa station, ca;25;24;land;percent change, 1999-2003 | total trade
65.8;port of savannah, ga;24;30;water;percent change, 1999-2003 | imports
45.5;port of savannah, ga;24;30;water;percent change, 1999-2003 | exports
58.1;port of savannah, ga;24;30;water;percent change, 1999-2003 | total trade
7.1;anchorage, ak;23;20;air;percent change, 1999-2003 | imports
-10.5;anchorage, ak;23;20;air;percent change, 1999-2003 | exports
2.0;anchorage, ak;23;20;air;percent change, 1999-2003 | total trade
9.4;miami international airport, fl;22;19;air;percent change, 1999-2003 | imports
-7.5;miami international airport, fl;22;19;air;percent change, 1999-2003 | exports
-1.6;miami international airport, fl;22;19;air;percent change, 1999-2003 | total trade
-33.6;port of seattle, wa;21;14;water;percent change, 1999-2003 | imports
3.4;port of seattle, wa;21;14;water;percent change, 1999-2003 | exports
-27.2;port of seattle, wa;21;14;water;percent change, 1999-2003 | total trade
56.0;dallas-fort worth, tx;20;27;air;percent change, 1999-2003 | imports
83.7;dallas-fort worth, tx;20;27;air;percent change, 1999-2003 | exports
68.3;dallas-fort worth, tx;20;27;air;percent change, 1999-2003 | total trade
16.7;port of oakland, ca;19;16;water;percent change, 1999-2003 | imports
-23.1;port of oakland, ca;19;16;water;percent change, 1999-2003 | exports
0.6;port of oakland, ca;19;16;water;percent change, 1999-2003 | total trade
43.8;port of baltimore, md;18;21;water;percent change, 1999-2003 | imports
