DATA;Row Heading;Column Heading
23,7;конструктивный элемент | обечайка корпуса межтурбного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка корпуса межтурбного пространства;погрешность измерения, мм
23,6;конструктивный элемент | обечайка корпуса межтурбного пространства;фактическая толщина стенки sф, мм
31,7;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;погрешность измерения, мм
31,6;конструктивный элемент | обечайка штуцера №1 ввода трубного пучка межтрубного пространства;фактическая толщина стенки sф, мм
31,7;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;погрешность измерения, мм
31,6;конструктивный элемент | обечайка штуцера №2 ввода трубного пучка межтрубного пространства;фактическая толщина стенки sф, мм
31,7;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;погрешность измерения, мм
31,6;конструктивный элемент | обечайка штуцера №3 ввода трубного пучка межтрубного пространства;фактическая толщина стенки sф, мм
10;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;погрешность измерения, мм
9,9;конструктивный элемент | обечайка распределительной камеры №1 трубного пространства;фактическая толщина стенки sф, мм
10;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;погрешность измерения, мм
9,9;конструктивный элемент | обечайка распределительной камеры №2 трубного пространства;фактическая толщина стенки sф, мм
10;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;погрешность измерения, мм
9,9;конструктивный элемент | обечайка распределительной камеры №3 трубного пространства;фактическая толщина стенки sф, мм
25;конструктивный элемент | днище корпуса межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | днище корпуса межтрубного пространства;погрешность измерения, мм
24,9;конструктивный элемент | днище корпуса межтрубного пространства;фактическая толщина стенки sф, мм
11,3;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;погрешность измерения, мм
11,2;конструктивный элемент | днище распределительной камеры №1 межтрубного пространства;фактическая толщина стенки sф, мм
11,3;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;погрешность измерения, мм
11,2;конструктивный элемент | днище распределительной камеры №2 межтрубного пространства;фактическая толщина стенки sф, мм
11,3;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;минимальная толщина стенки по толщинометрии smin, мм
-0,1;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;погрешность измерения, мм
11,2;конструктивный элемент | днище распределительной камеры №3 межтрубного пространства;фактическая толщина стенки sф, мм
