DATA;Row Heading;Column Heading
200;штуцер | dy200;d, мм
1,25;штуцер | dy200;р, мпа
136,3;штуцер | dy200;[g], мпа
5,9;штуцер | dy200;sф, мм
1,06;штуцер | dy200;sр, мм
3;штуцер | dy200;sотб., мм
150;штуцер | dy150;d, мм
1,25;штуцер | dy150;р, мпа
136,3;штуцер | dy150;[g], мпа
6,7;штуцер | dy150;sф, мм
0,8;штуцер | dy150;sр, мм
3;штуцер | dy150;sотб., мм
150;штуцер | dy150;d, мм
1,2;штуцер | dy150;р, мпа
126,8;штуцер | dy150;[g], мпа
6;штуцер | dy150;sф, мм
0,82;штуцер | dy150;sр, мм
3;штуцер | dy150;sотб., мм
сталь 20;штуцер | dy200;материал
сталь 20;штуцер | dy150;материал
сталь 20;штуцер | dy150;материал
сталь 20;штуцер | dy200;материал
сталь 20;штуцер | dy150;материал
сталь 20;штуцер | dy150;материал
