DATA;RowHeading;ColumnHeading
Без осадков;Ясная;Осадки|Тип
0;Ясная;Осадки|Количество
10;Ясная;Температура
СВ;Ясная;Ветер|Направление
2;Ясная;Ветер|Скорость
56;Ясная;Влажность
760;Ясная;Давление
Без осадков;Облачная;Осадки|Тип
0;Облачная;Осадки|Количество
15;Облачная;Температура
СЗ;Облачная;Ветер|Направление
3;Облачная;Ветер|Скорость
58;Облачная;Влажность
765;Облачная;Давление
Без осадков;Пасмурная;Осадки|Тип
0;Пасмурная;Осадки|Количество
-2;Пасмурная;Температура
СЗ;Пасмурная;Ветер|Направление
7;Пасмурная;Ветер|Скорость
60;Пасмурная;Влажность
763;Пасмурная;Давление
Дождь;Дождливая;Осадки|Тип
5;Дождливая;Осадки|Количество
5;Дождливая;Температура
Ю;Дождливая;Ветер|Направление
5;Дождливая;Ветер|Скорость
86;Дождливая;Влажность
765;Дождливая;Давление
Снег;Морозная;Осадки|Тип
0.7;Морозная;Осадки|Количество
-10;Морозная;Температура
ЮВ;Морозная;Ветер|Направление
2;Морозная;Ветер|Скорость
69;Морозная;Влажность
760;Морозная;Давление
Без осадков;Жаркая;Осадки|Тип
0;Жаркая;Осадки|Количество
30;Жаркая;Температура
ЮВ;Жаркая;Ветер|Направление
2;Жаркая;Ветер|Скорость
57;Жаркая;Влажность
766;Жаркая;Давление
