DATA;RowHeading1;ColumnHeading
Приемо-раздаточные;А Б;Наименование
2;А Б;Кол-во, шт.
"80; 100";А Б;Условный переход, мм
1,6 (16);А Б;Условное давление, Мпа (кгс/см2)
Стенка;А Б;Место установки
Сталь 20;А Б;Материал | Марка
ГОСТ1050;А Б;Материал | ГОСТ или ТУ
Люк-лаз;В;Наименование
1;В;Кол-во, шт.
500;В;Условный переход, мм
1,6 (16);В;Условное давление, Мпа (кгс/см2)
Стенка;В;Место установки
Ст3;В;Материал | Марка
ГОСТ380;В;Материал | ГОСТ или ТУ
Запасной;Г;Наименование
1;Г;Кол-во, шт.
200;Г;Условный переход, мм
1,6 (16);Г;Условное давление, Мпа (кгс/см2)
Стенка;Г;Место установки
Сталь 20;Г;Материал | Марка
ГОСТ1050;Г;Материал | ГОСТ или ТУ
Технологический;Д;Наименование
1;Д;Кол-во, шт.
20;Д;Условный переход, мм
1,6 (16);Д;Условное давление, Мпа (кгс/см2)
Стенка;Д;Место установки
Сталь 20;Д;Материал | Марка
ГОСТ1050;Д;Материал | ГОСТ или ТУ
Технологический;Е;Наименование
1;Е;Кол-во, шт.
50;Е;Условный переход, мм
1,6 (16);Е;Условное давление, Мпа (кгс/см2)
Стенка;Е;Место установки
Сталь 20;Е;Материал | Марка
ГОСТ1050;Е;Материал | ГОСТ или ТУ
Технологический;Ж;Наименование
1;Ж;Кол-во, шт.
250;Ж;Условный переход, мм
1,6 (16);Ж;Условное давление, Мпа (кгс/см2)
Стенка;Ж;Место установки
Сталь 20;Ж;Материал | Марка
ГОСТ1050;Ж;Материал | ГОСТ или ТУ
Люк световой;А1 Б1;Наименование
2;А1 Б1;Кол-во, шт.
500;А1 Б1;Условный переход, мм
1,6 (16);А1 Б1;Условное давление, Мпа (кгс/см2)
Крыша;А1 Б1;Место установки
Ст3;А1 Б1;Материал | Марка
ГОСТ380;А1 Б1;Материал | ГОСТ или ТУ
Люк замерный;Г1;Наименование
1;Г1;Кол-во, шт.
150;Г1;Условный переход, мм
1,6 (16);Г1;Условное давление, Мпа (кгс/см2)
Крыша;Г1;Место установки
Сталь 20;Г1;Материал | Марка
ГОСТ1050;Г1;Материал | ГОСТ или ТУ
Вентиляционный патрубок;В1;Наименование
1;В1;Кол-во, шт.
150;В1;Условный переход, мм
1,6 (16);В1;Условное давление, Мпа (кгс/см2)
Крыша;В1;Место установки
Сталь 20;В1;Материал | Марка
ГОСТ1050;В1;Материал | ГОСТ или ТУ
Технологичсекий;Д1;Наименование
1;Д1;Кол-во, шт.
150;Д1;Условный переход, мм
1,6 (16);Д1;Условное давление, Мпа (кгс/см2)
Крыша;Д1;Место установки
Сталь 20;Д1;Материал | Марка
ГОСТ1050;Д1;Материал | ГОСТ или ТУ
